transaction_id,source,campaign,influencer_id,user_id,product,date,orders,revenue
HKT-10001,organic_search,Q4-2023-All-Brands,,HKU-12362,BCAA Pro,2025-07-16,1,2750.44
HKT-10002,organic_search,Q4-2023-All-Brands,,HKU-44225,BCAA Pro,2025-07-08,1,3174.12
HKT-10003,direct,Q4-2023-All-Brands,,HKU-21224,Creatine Monohydrate,2025-05-04,1,1068.55
HKT-10004,influencer_campaign,Q4-2023-All-Brands,HKI-1023,HKU-33710,Fish Oil,2025-05-17,1,1536.65
HKT-10005,influencer_campaign,Q4-2023-All-Brands,HKI-1033,HKU-13196,Active Teen Whey,2025-04-30,1,2232.42
HKT-10006,influencer_campaign,Q4-2023-All-Brands,HKI-1035,HKU-43027,Biozyme Whey,2025-06-15,1,1395.37
HKT-10007,influencer_campaign,Q4-2023-All-Brands,HKI-1007,HKU-48587,Active Teen Whey,2025-06-02,1,3648.1
HKT-10008,organic_search,Q4-2023-All-Brands,,HKU-30022,SuperMilk for Kids,2025-05-20,1,523.85
HKT-10009,influencer_campaign,Q4-2023-All-Brands,HKI-1026,HKU-43856,Biozyme Whey,2025-05-08,1,2603.28
HKT-10010,organic_search,Q4-2023-All-Brands,,HKU-16198,Active Teen Whey,2025-07-18,1,3884.4
HKT-10011,organic_search,Q4-2023-All-Brands,,HKU-43544,Active Teen Whey,2025-04-28,1,3508.89
HKT-10012,influencer_campaign,Q4-2023-All-Brands,HKI-1033,HKU-31998,BCAA Pro,2025-05-21,1,3084.47
HKT-10013,influencer_campaign,Q4-2023-All-Brands,HKI-1049,HKU-29427,Skin Radiance Collagen,2025-06-10,1,3910.88
HKT-10014,influencer_campaign,Q4-2023-All-Brands,HKI-1035,HKU-49421,BCAA Pro,2025-07-14,1,1584.97
HKT-10015,influencer_campaign,Q4-2023-All-Brands,HKI-1045,HKU-39816,SuperMilk for Kids,2025-06-08,1,942.9
HKT-10016,organic_search,Q4-2023-All-Brands,,HKU-18564,Fish Oil,2025-07-06,1,3919.07
HKT-10017,influencer_campaign,Q4-2023-All-Brands,HKI-1018,HKU-17890,Biozyme Whey,2025-04-22,1,1555.04
HKT-10018,influencer_campaign,Q4-2023-All-Brands,HKI-1030,HKU-48363,Skin Radiance Collagen,2025-05-11,1,2731.07
HKT-10019,organic_search,Q4-2023-All-Brands,,HKU-13689,Skin Radiance Collagen,2025-07-15,1,3852.37
HKT-10020,influencer_campaign,Q4-2023-All-Brands,HKI-1018,HKU-49062,Fish Oil,2025-06-05,1,1331.48
HKT-10021,organic_search,Q4-2023-All-Brands,,HKU-37860,Creatine Monohydrate,2025-07-17,1,3515.34
